order_id,city,city_level,brand,product_type,price,quantity,order_amount,scenario,gender,age_group,motive,year
1,武汉,2nd-tier,蜜雪冰城,Low-Sugar Tea Drinks,28.42,1,28.42,Dine-in,female,18-24,Quality,2019
2,深圳,1st-tier,奈雪,Light Milk Tea,29.03,3,87.09,Pick-up,female,Over 45,Novelty,2019
3,深圳,1st-tier,茶百道,Oat Milk Tea,21.8,2,43.6,Delivery,female,Over 45,Social,2019
4,杭州,2nd-tier,其余（Others）,Milk Tea / Cheese Foam / Others,21.16,2,42.32,Dine-in,female,25-34,Novelty,2019
5,深圳,1st-tier,蜜雪冰城,Light Milk Tea,23.84,1,23.84,Dine-in,female,18-24,Novelty,2019
6,深圳,1st-tier,蜜雪冰城,Light Milk Tea,22.01,3,66.03,Delivery,female,18-24,Novelty,2019
7,南京,2nd-tier,茶百道,Milk Tea / Cheese Foam / Others,22.85,3,68.55,Delivery,female,18-24,Quality,2019
8,武汉,2nd-tier,喜茶,Oat Milk Tea,14.15,2,28.3,Delivery,male,Over 45,Novelty,2019
9,襄阳,3rd-tier,蜜雪冰城,Fruit Tea,25.85,3,77.55,Delivery,female,35-44,Social,2019
10,汕头,3rd-tier,喜茶,Milk Tea / Cheese Foam / Others,24.84,1,24.84,Dine-in,female,18-24,Quality,2019
11,武汉,2nd-tier,蜜雪冰城,Low-Sugar Tea Drinks,14.05,2,28.1,Delivery,male,18-24,Quality,2019
12,汕头,3rd-tier,茶百道,Light Milk Tea,33.73,2,67.46,Delivery,female,18-24,Novelty,2019
13,广州,1st-tier,喜茶,Low-Sugar Tea Drinks,13.8,1,13.8,Delivery,male,35-44,Novelty,2019
14,上海,1st-tier,奈雪,Oat Milk Tea,9.74,3,29.22,Dine-in,female,18-24,Quality,2019
15,汕头,3rd-tier,古茗,Fruit Tea,27.97,2,55.94,Delivery,female,35-44,Novelty,2019
16,广州,1st-tier,喜茶,Fruit Tea,16.42,2,32.84,Dine-in,female,Over 45,Novelty,2019
17,洛阳,3rd-tier,茶百道,Milk Tea / Cheese Foam / Others,14.82,3,44.46,Delivery,female,25-34,Novelty,2019
18,汕头,3rd-tier,沪上阿姨,Oat Milk Tea,34.25,1,34.25,Dine-in,female,Over 45,Novelty,2019
19,南京,2nd-tier,奈雪,Fruit Tea,18.42,2,36.84,Delivery,female,18-24,Quality,2019
20,深圳,1st-tier,古茗,Fruit Tea,30.47,3,91.41,Delivery,female,18-24,Quality,2019
21,株洲,3rd-tier,沪上阿姨,Light Milk Tea,25.39,2,50.78,Dine-in,female,18-24,Quality,2019
22,武汉,2nd-tier,古茗,Light Milk Tea,32.35,1,32.35,Delivery,female,18-24,Novelty,2019
23,汕头,3rd-tier,蜜雪冰城,Fruit Tea,26.78,2,53.56,Delivery,female,25-34,Novelty,2019
24,武汉,2nd-tier,喜茶,Low-Sugar Tea Drinks,23.57,2,47.14,Delivery,female,Over 45,Novelty,2019
25,南京,2nd-tier,喜茶,Oat Milk Tea,19.08,3,57.24,Delivery,female,18-24,Quality,2019
26,深圳,1st-tier,蜜雪冰城,Milk Tea / Cheese Foam / Others,10.15,1,10.15,Delivery,male,25-34,Social,2019
27,南京,2nd-tier,沪上阿姨,Low-Sugar Tea Drinks,15.71,1,15.71,Pick-up,female,25-34,Quality,2019
28,重庆,2nd-tier,奈雪,Low-Sugar Tea Drinks,22.42,2,44.84,Delivery,female,25-34,Novelty,2019
29,北京,1st-tier,茶百道,Low-Sugar Tea Drinks,26.7,2,53.4,Pick-up,male,18-24,Quality,2019
30,杭州,2nd-tier,茶百道,Oat Milk Tea,29.1,3,87.3,Dine-in,female,25-34,Quality,2019
31,上海,1st-tier,喜茶,Low-Sugar Tea Drinks,10.88,1,10.88,Dine-in,male,18-24,Social,2019
32,广州,1st-tier,喜茶,Low-Sugar Tea Drinks,27.03,2,54.06,Delivery,male,18-24,Novelty,2019
33,株洲,3rd-tier,蜜雪冰城,Milk Tea / Cheese Foam / Others,8.77,2,17.54,Dine-in,male,35-44,Quality,2019
34,西安,2nd-tier,喜茶,Light Milk Tea,8.52,2,17.04,Delivery,female,35-44,Novelty,2019
35,西安,2nd-tier,奈雪,Light Milk Tea,8.49,3,25.47,Delivery,male,35-44,Quality,2019
36,南京,2nd-tier,喜茶,Light Milk Tea,28.53,2,57.06,Delivery,male,25-34,Quality,2019
37,株洲,3rd-tier,CoCo,Low-Sugar Tea Drinks,23.62,3,70.86,Delivery,female,Over 45,Novelty,2019
38,北京,1st-tier,古茗,Light Milk Tea,13.23,3,39.69,Pick-up,male,18-24,Novelty,2019
39,汕头,3rd-tier,蜜雪冰城,Fruit Tea,11.15,2,22.3,Delivery,male,25-34,Quality,2019
40,北京,1st-tier,喜茶,Light Milk Tea,13.96,1,13.96,Delivery,female,25-34,Quality,2019
41,西安,2nd-tier,奈雪,Light Milk Tea,26.06,3,78.18,Dine-in,female,25-34,Novelty,2019
42,汕头,3rd-tier,茶百道,Fruit Tea,15.75,2,31.5,Pick-up,female,18-24,Quality,2019
43,襄阳,3rd-tier,CoCo,Light Milk Tea,10.2,3,30.6,Delivery,female,18-24,Novelty,2019
44,北京,1st-tier,CoCo,Light Milk Tea,34.82,1,34.82,Delivery,female,35-44,Novelty,2019
45,杭州,2nd-tier,古茗,Low-Sugar Tea Drinks,22.49,1,22.49,Delivery,male,25-34,Social,2019
46,深圳,1st-tier,古茗,Oat Milk Tea,29.04,2,58.08,Pick-up,female,25-34,Novelty,2019
47,杭州,2nd-tier,茶百道,Light Milk Tea,11.13,3,33.39,Delivery,female,Over 45,Novelty,2019
48,重庆,2nd-tier,蜜雪冰城,Low-Sugar Tea Drinks,33.7,3,101.1,Delivery,female,25-34,Social,2019
49,洛阳,3rd-tier,古茗,Light Milk Tea,31.42,3,94.26,Delivery,female,25-34,Novelty,2019
50,洛阳,3rd-tier,喜茶,Fruit Tea,25.09,1,25.09,Delivery,male,Over 45,Novelty,2019
51,上海,1st-tier,其余（Others）,Low-Sugar Tea Drinks,9.4,2,18.8,Delivery,female,18-24,Novelty,2019
52,杭州,2nd-tier,奈雪,Oat Milk Tea,23.11,2,46.22,Delivery,male,18-24,Quality,2019
53,武汉,2nd-tier,喜茶,Oat Milk Tea,17.74,2,35.48,Delivery,male,25-34,Novelty,2019
54,西安,2nd-tier,茶百道,Light Milk Tea,14.72,3,44.16,Delivery,female,25-34,Quality,2019
55,深圳,1st-tier,古茗,Low-Sugar Tea Drinks,15.79,2,31.58,Delivery,male,18-24,Social,2019
56,成都,2nd-tier,茶百道,Low-Sugar Tea Drinks,10.97,2,21.94,Pick-up,female,35-44,Novelty,2019
57,广州,1st-tier,蜜雪冰城,Light Milk Tea,13.31,1,13.31,Delivery,female,25-34,Quality,2019
58,广州,1st-tier,喜茶,Low-Sugar Tea Drinks,13.12,3,39.36,Delivery,female,18-24,Quality,2019
59,深圳,1st-tier,奈雪,Low-Sugar Tea Drinks,33.84,2,67.68,Dine-in,male,18-24,Novelty,2019
60,南京,2nd-tier,茶百道,Fruit Tea,17.42,3,52.26,Dine-in,female,25-34,Quality,2019
61,上海,1st-tier,奈雪,Light Milk Tea,10.41,3,31.23,Dine-in,female,35-44,Novelty,2019
62,广州,1st-tier,奈雪,Oat Milk Tea,14.23,1,14.23,Delivery,female,35-44,Novelty,2019
63,成都,2nd-tier,蜜雪冰城,Oat Milk Tea,23.21,3,69.63,Dine-in,female,18-24,Novelty,2019
64,南昌,3rd-tier,沪上阿姨,Fruit Tea,8.97,2,17.94,Pick-up,female,35-44,Novelty,2019
65,汕头,3rd-tier,茶百道,Light Milk Tea,31.38,2,62.76,Delivery,female,18-24,Novelty,2019
66,杭州,2nd-tier,茶百道,Milk Tea / Cheese Foam / Others,8.46,1,8.46,Delivery,male,25-34,Social,2019
67,广州,1st-tier,茶百道,Low-Sugar Tea Drinks,13.33,2,26.66,Pick-up,male,35-44,Quality,2019
68,广州,1st-tier,喜茶,Fruit Tea,23.58,1,23.58,Delivery,male,35-44,Quality,2019
69,深圳,1st-tier,其余（Others）,Low-Sugar Tea Drinks,34.08,1,34.08,Delivery,female,Over 45,Quality,2019
70,广州,1st-tier,奈雪,Oat Milk Tea,15.98,2,31.96,Delivery,male,35-44,Novelty,2019
71,南昌,3rd-tier,蜜雪冰城,Light Milk Tea,34.41,3,103.23,Delivery,female,35-44,Quality,2019
72,上海,1st-tier,喜茶,Fruit Tea,21.06,2,42.12,Delivery,female,35-44,Novelty,2019
73,深圳,1st-tier,奈雪,Oat Milk Tea,29.59,2,59.18,Delivery,female,25-34,Social,2019
74,株洲,3rd-tier,蜜雪冰城,Low-Sugar Tea Drinks,19.31,2,38.62,Delivery,male,25-34,Quality,2019
75,洛阳,3rd-tier,喜茶,Low-Sugar Tea Drinks,28.36,1,28.36,Delivery,female,25-34,Quality,2019
76,重庆,2nd-tier,奈雪,Milk Tea / Cheese Foam / Others,24.3,2,48.6,Dine-in,female,18-24,Novelty,2019
77,深圳,1st-tier,喜茶,Low-Sugar Tea Drinks,9.47,3,28.41,Delivery,female,25-34,Novelty,2019
78,西安,2nd-tier,喜茶,Light Milk Tea,33.88,2,67.76,Delivery,female,25-34,Novelty,2019
79,襄阳,3rd-tier,奈雪,Milk Tea / Cheese Foam / Others,8.06,2,16.12,Dine-in,female,25-34,Novelty,2019
80,广州,1st-tier,古茗,Low-Sugar Tea Drinks,31.25,3,93.75,Dine-in,female,Over 45,Novelty,2019
81,西安,2nd-tier,喜茶,Low-Sugar Tea Drinks,20.51,3,61.53,Delivery,female,Over 45,Novelty,2019
